Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,-0.5024835536863846,-2.097873995256834,0.0002189621195533173,0.0006472659486329744,0.000231653076352854,7066,"tags=68%, list=25%, signal=51%",NDUFA9/SDHD/LDHA/COX4I1/NDUFV2/UQCRH/COX6B1/PDHX/ATP5ME/NDUFA2/ATP6V1H/ATP6V1F/COX7C/ATP5F1E/NDUFB6/ACO2/COX6C/NDUFC1/NDUFB3/NDUFA1/NDUFA7/COX5B/ECH1/COX6A1/ATP5PF/NDUFB7/NDUFB1/COX7B/COX5A/AFG3L2/ATP5PB/COX7A2/FDX1/SUCLG1/MTRF1/NDUFS7/ATP5PO/MDH2/SDHC/MDH1/AIFM1/NDUFS8/NDUFB8/BAX/NDUFV1/PDHA1/SDHB/NDUFB5/ECI1/SLC25A3/MRPL15/ATP5MG/NDUFS6/SLC25A12/ATP5F1B/ATP5MC2/NDUFB2/MRPL11/ACAA1/NDUFAB1/OXA1L/UQCR11/IDH3B/UQCRQ/DECR1/IMMT/IDH3G/COX7A2L/ATP5F1A/PRDX3/MRPS15/ECHS1/UQCR10/ATP1B1/ATP5F1D/MRPS22/TIMM50/POLR2F/ATP6V1D/VDAC1/DLAT/LDHB/ATP5PD/NDUFC2/SUPV3L1/HSD17B10/PHB2/ATP5MC1/MPC1/TOMM22/SLC25A20/TIMM13/COX17/ATP6V0C/FH/NDUFS3/NDUFA6/TIMM8B/ATP6V0E1/ATP5F1C/IDH3A/ALAS1/SLC25A4/MRPS11/ATP5MC3/RHOT2/ATP6V0B/NDUFA8/CYC1/POR/NQO2/ATP6V1G1/UQCRFS1/CYB5A/ATP6V1E1/PMPCA/MTRR/MTX2/TIMM10/TOMM70/VDAC3/MRPS12/MRPL35/SLC25A11/VDAC2/MRPL34/CASP7/TIMM9/FXN/GRPEL1/MRPS30/HCCS/OGDH/CYCS/IDH1/TIMM17A
HALLMARK_G2M_CHECKPOINT,198,-0.4843693500456961,-2.020327627177254,0.0002192982456140351,0.0006472659486329744,0.000231653076352854,4122,"tags=40%, list=14%, signal=35%",LBR/KIF5B/PRPF4B/UBE2C/SRSF1/KPNB1/CDC45/CDKN3/PURA/DTYMK/CHAF1A/SYNCRIP/MEIS2/CDK1/FBXO5/MYBL2/DDX39A/DBF4/CTCF/CUL1/JPT1/HIF1A/CBX1/POLA2/CHMP1A/SNRPD1/CDK4/CKS1B/TNPO2/EWSR1/MCM3/PML/GSPT1/SRSF2/PBK/SFPQ/CUL3/ORC5/MCM6/LIG3/BIRC5/UBE2S/GINS2/HNRNPD/H2AFX/SUV39H1/UCK2/RPA2/TACC3/ORC6/G3BP1/HNRNPU/NOLC1/CKS2/TFDP1/BCL3/PRMT5/SLC7A5/UPF1/MAD2L1/E2F4/ODC1/TOP1/LMNB1/ATF5/KPNA2/SRSF10/TRA2B/RBM14/CDC20/DKC1/E2F3/AURKA/HIRA/CCND1/CDC6/CDC25A/SQLE/AMD1/HSPA8
HALLMARK_MTORC1_SIGNALING,199,-0.6491786411690362,-2.707839251027224,0.0002200704225352113,0.0006472659486329744,0.000231653076352854,3233,"tags=50%, list=11%, signal=44%",PSMC6/ENO1/SYTL2/IMMT/DHCR7/CALR/HPRT1/PRDX1/ATP6V1D/RRM2/SLA/ATP5MC1/PSMG1/IFRD1/DDX39A/DDIT4/MTHFD2/PSMD13/HMBS/PSMC2/SORD/PSMA3/PSMB5/FDXR/ABCF2/EEF1E1/PSMA4/EIF2S2/EBP/QDPR/NFKBIB/HSPE1/ACLY/HMGCR/GMPS/TM7SF2/GTF2H1/SDF2L1/PSMD14/GOT1/PSMD12/ETF1/PSPH/YKT6/ME1/PIK3R3/MAP2K3/HSPA5/SERP1/SCD/SC5D/STARD4/PITPNB/CACYBP/TRIB3/LDLR/HSPD1/PSMC4/SLC9A3R1/SLC1A5/PSME3/SLC7A5/GSR/RAB1A/ASNS/MTHFD2L/TUBA4A/CCT6A/STC1/RRP9/ARPC5L/HK2/HSPA4/UFM1/CYB5B/MLLT11/IDH1/UCHL5/RIT1/STIP1/RDH11/AURKA/EGLN3/PSAT1/XBP1/SERPINH1/NUFIP1/TMEM97/BHLHE40/POLR3G/CDC25A/PNP/CYP51A1/SQLE/CDKN1A/PNO1/INSIG1/HMGCS1/IDI1
HALLMARK_MYC_TARGETS_V1,199,-0.7399416230798925,-3.086427746354037,0.0002200704225352113,0.0006472659486329744,0.000231653076352854,5089,"tags=71%, list=18%, signal=59%",MCM2/TUFM/PSMB3/EIF4H/HNRNPA3/RPS10/USP1/RPS6/PABPC4/DUT/AP3S1/SLC25A3/H2AFZ/HNRNPC/PRPF31/SNRPG/RPS3/EEF1B2/PRDX4/COPS5/MRPS18B/TYMS/NDUFAB1/SNRPD2/SRSF1/ERH/KPNB1/PSMC6/CDC45/PRDX3/PSMA7/LSM7/SYNCRIP/APEX1/HPRT1/PHB/VDAC1/SF3B3/RUVBL2/PHB2/EXOSC7/PSMB2/NME1/IFRD1/PSMA2/STARD7/PSMA6/IMPDH2/EIF3D/ORC2/PSMA1/MCM7/PSMD3/UBE2L3/SERBP1/CUL1/PSMA4/SSBP1/TXNL4A/HDDC2/TRIM28/SNRPD1/ACP1/POLD2/ILF2/CCT7/EIF2S2/CYC1/CBX3/PSMD1/C1QBP/SNRPB2/CDK4/HSPE1/PCNA/PPM1G/RANBP1/LSM2/RNPS1/TARDBP/MRPL9/EIF4A1/GSPT1/PSMD14/CCT4/SRSF2/HSP90AB1/SNRPA1/SSB/MCM6/ETF1/RAN/PWP1/VBP1/DDX18/SRM/CCT3/DHX15/TOMM70/CNBP/HNRNPD/VDAC3/ABCE1/EIF3J/HSPD1/PSMC4/HDAC2/G3BP1/SET/HNRNPU/EIF3B/NOLC1/TFDP1/CCT5/CSTF2/MAD2L1/PA2G4/PSMD7/SRSF3/EIF1AX/ODC1/PCBP1/RRP9/AIMP2/GNL3/KPNA2/DDX21/NCBP2/PTGES3/TCP1/EIF2S1/TRA2B/RSL1D1/POLE3/CCT2/CDC20/CTPS1/NOP56/NOP16/EIF4E/SRSF7
HALLMARK_TNFA_SIGNALING_VIA_NFKB,197,0.3762509285725861,1.529865841920144,0.002755326965466569,0.007653686015184913,0.002739213942276707,2493,"tags=25%, list=9%, signal=23%",IRS2/IL7R/PNRC1/BCL6/KLF9/SGK1/RNF19B/CCN1/KLF4/BTG1/CFLAR/FOSL2/CEBPD/NR4A2/KLF6/F2RL1/BIRC3/ABCA1/MAP3K8/TIPARP/DDX58/TNFAIP8/SMAD3/KYNU/SIK1/BIRC2/MAFF/BMP2/DUSP1/ZBTB10/ATF3/TGIF1/REL/ID2/NFE2L2/B4GALT1/PPP1R15A/CD44/EFNA1/NFIL3/IL23A/NFAT5/BTG2/CXCL6/CCL2/KLF2/NFKBIA/LAMB3/DENND5A
HALLMARK_P53_PATHWAY,198,0.3736309356655917,1.519837013535008,0.003123851525174568,0.008220661908354127,0.00294213163035832,1568,"tags=20%, list=6%, signal=19%",TXNIP/ZBTB16/F2R/NUPR1/COQ8A/TP63/RNF19B/MXD4/STOM/KLF4/BTG1/PERP/TM4SF1/SESN1/FOXO3/RAB40C/ABHD4/ITGB4/PTPN14/CTSF/ANKRA2/NDRG1/BMP2/RETSAT/ABCC5/ACVR1B/APAF1/ATF3/PLXNB2/KIF13B/PPM1D/VWA5A/IP6K2/RHBDF2/GM2A/SP1/SLC7A11/PPP1R15A/FBXW7/APP
HALLMARK_IL2_STAT5_SIGNALING,189,0.3740681533853363,1.511338646999181,0.004446914952751528,0.01111728738187882,0.003978818641935579,2789,"tags=24%, list=10%, signal=22%",PIM1/GABARAPL1/SMPDL3A/TNFSF10/IRF6/IKZF2/NFKBIZ/IL1RL1/KLF6/SWAP70/IFNGR1/MAP3K8/DHRS3/IGF1R/SNX9/CD86/FURIN/P4HA1/MAFF/NDRG1/BMP2/PLSCR1/TNFSF11/RABGAP1L/PRKCH/LRIG1/AHNAK/TTC39B/IGF2R/RORA/CD44/PTCH1/CA2/MAPKAPK2/ITGAV/NFIL3/HUWE1/P2RX4/ALCAM/BMPR2/DENND5A/SCN9A/ETFBKMT/NCOA3/NT5E/ITGA6
HALLMARK_APICAL_JUNCTION,192,0.3690352210419215,1.49278600667747,0.004817491198814156,0.0114702171400337,0.004105130344854169,5881,"tags=34%, list=21%, signal=27%",GRB7/JUP/DSC3/PCDH1/ITGA10/PTK2/ITGB4/CD86/FYB1/COL17A1/TSC1/ITGA2/THBS3/SLIT2/WASL/AKT3/TJP1/B4GALT1/RHOF/NEGR1/ACTG1/LAMA3/EGFR/NF1/SGCE/CRAT/ITGA9/GNAI1/FBN1/VCAN/MPZL2/LAMB3/ADAMTS5/MAP3K20/LAMC2/CDH1/ATP1A3/MADCAM1/ITGB1/EPB41L2/NEXN/ICAM5/RASA1/MAP4K2/ADAM9/PARVA/CLDN7/PTEN/ACTN3/MMP2/MYH9/CLDN18/EXOC4/DSC1/ADRA1B/CDK8/CLDN11/PKD1/LIMA1/CDSN/AMIGO1/PIK3CB/ACTA1/MYH10/CLDN14
HALLMARK_PI3K_AKT_MTOR_SIGNALING,101,-0.4072596015312885,-1.549762314490978,0.006590136054421769,0.01462869707071423,0.005235533688466147,5287,"tags=44%, list=19%, signal=36%",RPTOR/PRKAR2A/MKNK2/E2F1/ARF1/RALB/ATF1/GRK2/PIN1/UBE2D3/PRKAG1/PPP2R1B/MAP2K6/PAK4/MAPKAP1/RAC1/AP2M1/CALR/YWHAB/CDK1/SLA/MYD88/MAPK9/TNFRSF1A/RIPK1/MKNK1/AKT1/TRAF2/HRAS/CDK4/NFKBIB/ARHGDIA/CAB39L/PIK3R3/MAP2K3/TRIB3/UBE2N/GRB2/THEM4/SFN/DUSP3/RIT1/EIF4E/CDKN1A
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,-0.4934797435479497,-1.654037958986285,0.006729200652528548,0.01462869707071423,0.005235533688466147,5373,"tags=45%, list=19%, signal=36%",PRNP/TXNRD2/ERCC2/G6PD/ATOX1/PRDX4/LAMTOR5/SELENOS/TXN/FTL/PRDX1/LSP1/NDUFA6/NQO1/MPO/GCLM/PTPA/SBNO2/GLRX2/HMOX2/GSR/SRXN1
