P,EFFECTSIZE,SNP,GENE
3.324625632130359e-260,,,MSX1
1.988032390967045e-289,,,SREBF2
9.86289788192843e-68,,,NFATC3
0.0,-0.1324429984857423,,ONECUT2
2.044215533164e-311,,,HNF1A
5.338045084843204e-287,-0.4805287296336627,,SPI1
4.6148970296230027e-156,-1.074685437411939,,FOXJ3
3.300880693117946e-163,-0.6336514470902407,,MYC
0.0,-1.0878346767954206,,ZNF683
1.1069044785950432e-288,,,NFYA
3.2369241590053537e-226,-0.8417302046634856,,HOXA13
9.439546389653225e-52,,,PLAG1
0.0,-0.6811744670647456,,TBX3
7.575187510876268e-191,,,STAT3
3.0818931121826343e-178,-0.6587490347558498,,HES1
0.0,-0.050353862962742246,,KLF6
2.34392405e-316,-0.7401237694942219,,JUND
7.210023784081332e-262,-0.2814082377002665,,FOXC1
6.1885793e-317,,,ELF3
0.0,-0.9388276005806078,,RFX5
4.33116933992692e-222,,,TBX15
1.5830920713002766e-272,-1.7916904129725086,,TFAP2A
3.565063451852057e-288,,,SMAD4
5.4899079690066e-225,,,ELK1
5.7309084777147714e-179,,,ZNF333
3.989888921872742e-294,-0.7230133052031491,,ZBTB33
2.3252631556400293e-237,,,XBP1
5.0273198412040743e-262,-0.48118524229973125,,MEF2D
6.059902863869886e-274,-0.4691583023949335,,FOXI1
7.670821229691659e-35,,,CTCF
3.1269833515320694e-179,,,HOXB3
1.1646471629773672e-233,,,STAT5B
7.176702910147911e-186,,,TBX21
7.210023784081332e-262,-0.7003395813998572,,HOMEZ
2.7045e-320,,,MZF1
8.863980869201024e-286,,,NFIL3
0.0,-0.505046778049591,,EGR3
6.694052956513777e-197,-0.7997666719228229,,KLF3
2.2949699228451482e-243,,,HOXB5
2.2672239094656192e-284,-0.29289414957963933,,NR5A2
1.6956267865690783e-260,,,CEBPB
0.0,,,ZNF784
3.7057739044009565e-189,,,PKNOX1
1.0311682153240062e-206,,,HOXA1
7.561359008219814e-112,-1.8112447045638425,,TET1
0.0,-0.2860985137189987,,GLI3
6.746025398146632e-170,,,MSC
1.7164958068873607e-176,-0.8139236467793766,,PLAGL1
1.187572063800951e-202,,,NR2F1
1.4071221694089063e-201,,,MYBL2
0.0,-0.03838076477172725,,ZEB1
5.787009221019293e-137,-1.1983546823655806,,ZBTB49
1.9177119248778276e-189,,,ELF5
9.536934502281546e-289,,,USF2
1.5158849860702743e-264,-1.0437340288638224,,ELF2
4.2715967255164053e-249,,,RELA
4.4091596582e-313,-0.2996596341290027,,ZNF143
0.0,,,NFKB2
1.0787447351776595e-49,-1.5120351354918409,,REST
3.81163809e-315,,,ELF4
6.302645033691081e-271,,,NR1I3
1.6749689181015033e-219,-0.7866407646697601,,GFI1
1.4404849364910013e-279,-0.39955261429874456,,MEIS1
4.621664260341194e-262,-0.6125859278851447,,CREB3
6.479273660887819e-301,,,MLX
6.7979605309493e-153,-0.8690217007102372,,SMAD1
0.0,-0.9849124205216905,,LBX2
0.0,,,FOXD2
0.0,-0.3466471609296135,,ZFX
9.177746408199657e-183,,,SMAD2
8.74128939688364e-260,-0.7823467145613697,,E2F4
1.1344071247056695e-274,-1.2792242913384733,,SMARCC1
1.0810694773695017e-303,,,ETV1
9.244711800220973e-188,,,FOSB
5.601641151365582e-214,,,ATF1
0.0,,,PGR
1.6747414631887791e-304,-0.5474097516857896,,ZNF589
1.2225581222650279e-207,-0.7208234770867229,,BRCA1
0.0,,,ZNF232
9.703783242153851e-80,-1.3617972693525766,,TBP
0.0,,,RFX4
1.0608770315880916e-262,,,HEY2
9.7117404534e-314,,,IRF1
4.268870089558786e-217,,,MYBL1
1.698586415747591e-221,,,NRF1
6.65437563580418e-209,,,YBX1
0.0,-0.6830611945996353,,MESP1
1.145153710731021e-284,,,MTF1
1.7997533592438088e-243,-0.7877362463888704,,NR2C2
3.30787910607663e-194,-2.121132574646759,,LHX2
6.099165260480627e-272,,,E2F7
1.9761103490792998e-102,,,MEF2C
1.547776452808302e-97,-1.3494808977098378,,CREM
7.294884820118762e-157,,,ELK4
1.1848974307435358e-175,-0.763635414285449,,MBD2
3.868951665769967e-208,-0.7977093204037933,,TFEC
1.9919643795681283e-81,,,RELB
2.1619724687650212e-215,,,FOXJ2
8.090171591664853e-286,,,FOXP3
1.2328451812076394e-264,,,ZNF410
1.2365248253167248e-238,,,CENPB
0.0,,,EOMES
2.7559822825390745e-153,,,STAT4
3.097622362917959e-260,-1.82926545075021,,GFI1B
2.064784115614655e-291,-0.5650092503712689,,NR2E3
2.8350298972050807e-226,,,HESX1
3.0094377448661105e-290,,,CREB1
2.295202102168554e-143,-0.7270186778473885,,TP53
6.841404162151525e-179,-1.2699344658221765,,HIF1A
8.67694211853756e-232,,,HEY1
0.0,-0.9925494436910488,,ALX3
4.567289146185812e-219,,,AIRE
5.63491935226633e-306,-0.37111743414152004,,MAFB
1.1209050683323408e-210,,,TFCP2
0.0,,,ZNF713
2.625116878193372e-274,,,BHLHE40
1.9483983047380584e-229,,,ZSCAN16
1.2628925816668592e-141,-0.8886360294444111,,NR4A3
5.24420925e-316,,,NFAT5
3.2561682863309582e-264,-0.7302286454166631,,NR2C1
9.999335226920392e-237,-0.8782631531519391,,ZKSCAN3
3.647288588154236e-276,,,ATF4
3.279495103305131e-207,,,HLTF
2.760643997335553e-190,-0.7552276272603693,,JUN
2.17632794e-316,,,E2F1
8.890217513067383e-290,-0.4896997357923498,,E2F6
2.09917315348365e-308,,,E2F5
1.01713e-319,,,PAX6
1.465274322569345e-250,,,ATF7
1.161948674128581e-149,-0.9897714425273701,,IRF4
0.0,-0.35467569092258744,,HMBOX1
4.8279761640064084e-257,-0.4200276525894254,,FUBP1
0.0,-2.0382581767271937,,ZNF740
2.1727513950324404e-164,,,CEBPZ
6.488788790703297e-172,-0.9540782034541736,,DDIT3
