corr,corr_std,mse,mse_std
0.8779433251334003,0.0035184355090720223,0.23011571243208295,0.006272328742324782
0.9056339347012441,0.0019424138989797709,0.17896014443084785,0.0033767123162372387
0.8842841383595242,0.002252428061046957,0.21922934897942645,0.003934764492260783
0.9185447613581077,0.001780728396154644,0.16099310205340872,0.00345409378677537
0.8940586026954032,0.0033118990764601716,0.2040937048765865,0.006142621048706062
0.8715331798665067,0.007859857434941326,0.24137942931045075,0.012914178924780422
0.9090599331396889,0.0022990401583576755,0.17581422044140477,0.004038860999597067
0.9150416086129871,0.0023158319478720217,0.16592443509041482,0.004106456157040017
0.8938934917649446,0.0038959168900596585,0.2035712510010325,0.007158444689677982
0.8882203058716343,0.003034325816815769,0.21436521379094362,0.006990076407046814
0.9011677923590689,0.0014573665835155838,0.18851368954454764,0.002468117942829948
0.9016579500307988,0.0023962500699613396,0.1871207880499276,0.0043291048022041255
0.8471449074608122,0.008702701938766658,0.2841242685718185,0.013265055164342262
0.9367438652980956,0.0015166376036614734,0.1266426850781163,0.002832859762827318
0.8981182109924248,0.0017527197690964877,0.19801675996164908,0.00336410670581757
0.9118305273608008,0.0039978675086821775,0.170796315776183,0.007275622204390129
0.8824729669571459,0.0019980088843254296,0.22393496145155972,0.0034825171827434893
